"메인 키","분류명","공간명(한글)","공간명(영어)","개관년도","지역","우편번호","주소","상세주소","전화번호","홈페이지"
"14","전시시설","[소쇼]_청년예술공간지원사업 선정공간","SO","2017","종로구  ","03056  ","서울시 종로구 북촌로6길 32-4 (계동)","1,2층 (소쇼)","",""
"15","전시시설","[스튜디오엔케이앤킵인터치]_청년예술공간지원사업 선정공간","studio","2017","종로구  ","03060  ","서울시 종로구 북촌로1길 13 (안국동)","1층(스튜디오엔케이앤킵인터치)","","http://www.keepintouchseoul.com"
"16","전시시설","[스페이스공공연희x카페보스토크]_청년예술공간지원사업 선정공간","musosoc","2013","서대문구 ","03698  ","서울시 서대문구 연희로25길 98 (연희동)","1층 (스페이스공공연희x카페보스토크)","","http://www.musosoklab.com/"
"17","전시시설","[아노브]_청년예술공간지원사업 선정공간","anove","2017","용산구  ","04409  ","서울시 용산구 대사관로34길 40 (한남동)","3층 (아노브)","070-8118-6606",""
"18","문예회관","[아츠스테이] 문래 1호점 입주자 모집합니다~! (지금 바로 R룸 예약 가능!)","artxstay","2019","영등포구 ","07299  ","서울시 영등포구 문래동3가 54-44","3층","","http://www.artxstay.com/"
"19","전시시설","[아터테인]_청년예술공간지원사업 선정공간","artertain","2014","서대문구 ","03695  ","서울시 서대문구 홍연길 63-4 (연희동)","(아터테인)","02-6160-8445","https://www.artertain.com"
"20","전시시설","[아트랩반]_청년예술공간지원사업 선정공간","art","2016","마포구  ","04059  ","서울시 마포구 와우산로 114 (창전동)","4층 (아트랩반)","",""
"21","전시시설","[아티스트런스페이스쇼앤텔]_청년예술공간지원사업 선정공간","artistrunspaceshowandtell","2017","영등포구 ","07206  ","서울시 영등포구 양평로18길 8 (양평동4가)","지하 1층 (아티스트런스페이스쇼앤텔)","","https://www.showandtell.kr"
"22","공연장","[연희예술극장]_청년예술공간지원사업 선정공간","ARTSPACE","2017","서대문구 ","03708  ","서울시 서대문구 연희맛로 2-3 (연희동)","B1 (연희예술극장)","","http://yeonheeart.com"
"23","전시시설","[인스턴트루프]_청년예술공간지원사업 선정공간","INSTANT","2014","종로구  ","03061  ","서울시 종로구 윤보선길 19-6 (안국동)","(인스턴트루프)","070-7536-5738","http://www.vitrine.kr"
"24","전시시설","[재미공작소]_청년예술공간지원사업 선정공간","FUN","2011","영등포구 ","07299  ","서울시 영등포구 도림로 428-1 (문래동3가)","1층 (재미공작소)","",""
"25","전시시설","[탈영역우정국]_청년예술공간지원사업 선정공간","TALYOUN","2015","마포구  ","04078  ","서울시 마포구 독막로20길 42-1 (창전동)","(탈영우정국)","02-336-8553","https://www.ujeongguk.com"
"26","전시시설","[포럭]_청년예술공간지원사업 선정공간","po","2016","강동구  ","05390  ","서울시 강동구 풍성로 161 (성내동)","B1 (포럭)","",""
"27","공연장","[플레이스비브]_청년예술공간지원사업 선정공간","PLAYSBIBE","2017","성동구  ","04795  ","서울시 성동구 아차산로7나길 14 (성수동2가)","(플레이스비브)","",""
"28","공연장","1m클래식 아트홀","1m Classic Art Hall","2007","종로구  ","       ","서울시 종로구 동숭동 1-45 자유빌딩 4층","","02-743-5001","http://http://www.1mclassic.com"
"29","도서관","4.19혁명 기념도서관","","    ","종로구  ","110-102","서울시 종로구 새문안로 17","","02-737-9556","http://library.419revolution.org"
"30","미술관","63스카이아트미술관","","    ","영등포구 ","150-763","서울시 영등포구 63로 50","63빌딩","02-789-5684","http://www.63.co.kr"
"31","공연장","A 아트홀 (구. 신연아트홀)","A Art Hall","2005","종로구  ","       ","서울시 종로구 동숭동 1-37 신연아트홀","","02-3676-0282",""
"32","공연장","AN아트홀 대학로 (구 질러홀)","ANarthall","2004","종로구  ","       ","서울시 종로구 동숭동 1-74 B1","","",""
"33","공연장","BREAK OUT 전용관","Break Out Theater","    ","종로구  ","       ","서울시 종로구 관철동 33-1 시네코아빌딩 9층","","02-722-3995","http://www.yegam.com/breakout/KOR/index.asp"
"34","공연장","CGV팝아트홀","","2009","영등포구 ","       ","서울시 영등포구 영등포 4가 441-10번지 경방 타임스퀘어 CGV 7층 CGV 팝아트홀","","02-2068-7886","http://www.cgv.co.kr/arthall/info/introduction.aspx"
"35","공연장","CTS아트홀","ctsarthall","2005","동작구  ","       ","서울시 동작구 노량진동 27-2 B2층","","02-6333-2503","http://www.ctsarthall.com"
"36","공연연습실(대학로)","CTS아트홀","","    ","동작구  ","156-052","서울시 동작구 노량진로 100","기독교TV 멀티미디어센터","02-6333-2503","http://www.ctsarthall.com/"
"37","공연장","DCF대명문화공장","daemyungculturefactory","2014","종로구  ","110-809","서울시 종로구  대학로12길 21","DCF대명문화공장 수현재빌딩","02-2222-7808","http://www.dmcf.co.kr/"
"38","전시시설","Gallery 2","","    ","강남구  ","135-955","서울시 강남구 압구정로 461","네이쳐포엠 315호","02-3448-2112","http://www.mapoartcenter.or.kr"
"39","전시시설","huegallery","","    ","성북구  ","136-854","서울시 성북구 정릉로8가길 77","","02-3292-1100","http://www.oksoocwc.or.kr"
"40","공연장","IBK점프전용관","IBK Jump Theater","    ","종로구  ","       ","서울시 종로구 관철동 33-1 시네코아빌딩 9층","","02-722-3995","http://www.yegam.com/jump/kor/"
"41","공연장","IM스테이지","IM Stage","2003","종로구  ","       ","서울시 종로구 명륜4가 113-1 스타시티 빌딩","","02-747-9139","http://http://www.arthallstarcity.com"
"42","공연장","JCC아트센터","JCC ART CENTER","2014","종로구  ","03076  ","서울시 종로구 창경궁로35길 29 (혜화동, JEIARTCENTER)","JCC아트센터","02-2138-7373","https://www.jeijcc.org"
"43","공연장","jk아트홀(구.샘아트홀)","JK ArtHall","2010","종로구  ","       ","서울시 종로구 동숭동 1-48 5층","","02-762-3577","http://www.snowdreop2.com"
"44","공연연습실(대학로)","KBS홀","","    ","영등포구 ","150-914","서울시 영등포구 여의공원로 13","","02-781-1000","http://office.kbs.co.kr/kbshall/"
"45","공연장","KS 청담아트홀","Chungdam Art Hall","    ","강남구  ","       ","서울시 강남구 청담동 86번지 I&H 빌딩 3층","","02-3442-4842",""
"46","공연장","KT&G상상아트홀","KT&G Sangsang Art Hall","2006","강남구  ","       ","서울시 강남구 대치동 1002 코스모타워3층","","02-3404-4311~4","http://www.sangsangarthall.com/"
"47","공연장","KT&G상상아트홀","KT&G SANGSANG ARTHALL","2006","강남구  ","       ","서울시 강남구 대치동 1002번지 코스모타워 3층","","02-3404-4314","http://www.sangsangarthall.com"
"48","공연연습실(대학로)","KT&G상상아트홀","","    ","강남구  ","135-549","서울시 강남구 영동대로 416","KT&G 타워 3층","02-3404-4311~4",""
"49","공연장","LG아트센터","LG Arts Center","2000","강남구  ","       ","서울시 강남구 역삼동 679","","02-2005-0114","http://www.lgart.com/Main/LgArtsCenter_Main.aspx"
"50","공연연습실(대학로)","LG아트센터","","    ","강남구  ","135-985","서울시 강남구 논현로 508","","02-2005-0114",""
"51","공연장","LIG아트홀","LIG art Hall","    ","강남구  ","       ","서울시 강남구 역삼동 649-11 LIG타워 지하2층","","02-6900-3900","http://www.ligarthall.com/"
"52","공연연습실(대학로)","LIG아트홀","","    ","강남구  ","135-550","서울시 강남구 테헤란로 117","LIG타워","02-6900-3900",""
"53","공연연습실(대학로)","M극장","","    ","강남구  ","135-960","서울시 강남구 논현로4길 36","","02-578-6812","http://www.dc4.or.kr"
"54","공연장","NH아트홀","NHARTHALL","2011","중구   ","       ","서울시 중구 충정로1가 85 NH아트홀","","1599-2299",""
"55","미술관","oci미술관","","    ","종로구  ","110-140","서울시 종로구 우정국로 45-14","","02-734-0440~1","http://www.ocimuseum.org"
"56","공연연습실(대학로)","OTM 청담아트홀","","    ","강남구  ","135-954","서울시 강남구 선릉로 806","I&H빌딩 3층","02-544-8064","http://www.sangsangarthall.com"
"57","공연연습실(대학로)","PMC대학로 자유극장","","    ","종로구  ","110-809","서울시 종로구 대학로12길 31","자유빌딩","02-739-8288","http://www.i-pmc.co.kr"
"58","공연장","SCAU 대학로 극장(서울문화예술대학교 대학로극장)","seoul culture arts university theatre","2010","종로구  ","       ","서울시 종로구 동숭동 1-149 유니굽 빌딩 지하","","02-3675-0990",""
"59","공연장","SH홀","SH hall","1988","종로구  ","       ","서울시 종로구 동숭동 1-131 B1(마로니에유리빌딩지하1층)110-510","","02-747-2265","http://www.theatersh.com"
"60","공연장","SM 틴틴홀","SM Tin Tin Hall","2005","종로구  ","       ","서울시 종로구 동숭동 1-74 지하1층","","02-744-6700","http://www.tintinhall.co.kr"
"61","공연장","SM스타홀","SM Star Hall - D// Hall","2007","종로구  ","       ","서울시 종로구 동숭동 1-96","","02-745-6700",""
"62","공연장","SM아트홀","SM Art Hall","2008","종로구  ","       ","서울시 종로구 동숭동 1-92번지 지하1,2층 (110-510)","","02-744-6700",""
"63","전시시설","UM갤러리","","    ","강남구  ","135-889","서울시 강남구 압구정로12길 25","3층","02-515-3970","http://www.efmc.or.kr"
"64","전시시설","가나아트갤러리/센터","","    ","종로구  ","110-846","서울시 종로구 평창30길 28","","02-720-1020","http://iyeonwoo.co.kr"
"65","공연연습실(대학로)","가나의 집 열림홀","","    ","종로구  ","110-470","서울시 종로구 김상옥로 37","가나의집 B2","02-745-5905",""
"66","공연연습실(대학로)","가든스테이지","","    ","송파구  ","138-721","서울시 송파구 올림픽로 240","롯데월드 內","02-411-2000",""
"67","공연장","가든씨어터","","    ","종로구  ","       ","서울시 종로구 동숭동 1-63","","",""
"68","복지관","가락종합사회복지관","","    ","송파구  ","138-883","서울시 송파구 양재대로 897","","02-449-2341~4",""
"69","전시시설","가람화랑","","    ","종로구  ","110-300","서울시 종로구 인사동10길 11","","02-732-6170,02-733-5601","http://www.treeandwater.com"
"70","공연연습실(대학로)","가변극장 키작은 소나무","","    ","종로구  ","110-530","서울시 종로구 창경궁로 303","","02-765-8880",""
"71","공연연습실(대학로)","가변무대","","    ","성북구  ","136-043","서울시 성북구 삼선교로18길 6","","02-747-8573","http://www.fun1318.or.kr"
"72","복지관","가산종합사회복지관","","    ","금천구  ","153-801","서울시 금천구 가산로 129","","02-868-6856-8",""
"73","공연장","가야극장","","    ","서대문구 ","       ","서울시 서대문구 충정로3가 58-1 구세군빌딩 1층","","02-6364-4888","http://www.kayatheatre.co.kr"
"74","복지관","가양4 종합사회복지관","","    ","강서구  ","157-744","서울시 강서구 양천로 57길 37","","02-2668-6689","http://www.daelimmuseum.org"
"75","복지관","가양5 종합사회복지관","","    ","강서구  ","157-745","서울시 강서구 양천로57길 36","","02-2668-4603~4",""
"76","복지관","가양7 종합사회복지관","","    ","강서구  ","157-747","서울시 강서구 허준로 209","","02-2668-8600",""
"77","전시시설","가인갤러리","","    ","종로구  ","110-848","서울시 종로구 평창20길 51","","02-394-3631","http://edu.woosuk.ac.kr"
"78","전시시설","가진화랑","","    ","종로구  ","110-033","서울시 종로구 자하문로 74","","02-738-3581","http://www.wonderspace.co.kr"
"79","공연장","가톨릭청년회관 다리 CY씨어터","cycdari CY Theater","2010","마포구  ","       ","서울시 마포구 동교동 158-2","","070-8668-5796","http://www.scyc.or.kr"
"80","박물관","가회민화박물관","","    ","종로구  ","110-260","서울시 종로구 북촌로 12길 17","","02-741-0466","http://www.gahoemuseum.org"
"81","복지관","갈월종합사회복지관","","    ","용산구  ","140-804","서울시 용산구 두텁바위로 25","","02-752-7887","http://www.galwol.or.kr"
"82","공연연습실(대학로)","감리교신학대학교100주년기념관","","    ","서대문구 ","120-701","서울시 서대문구 독립문로 56","감리교신학대학교","02-3619-114","http://www.bookboo.or.kr"
"83","전시시설","감성예술교육센터","","    ","관악구  ","151-817","서울시 관악구 낙성대역16길 13","","02-875-3937","http://www.hanaartgallery.com"
"84","도서관","강남 역삼 푸른솔도서관","","    ","강남구  ","135-935","서울시 강남구 테헤란로 8길 36","강남문화원 4층","02-2051-1178","http://www.banghwa11.or.kr"
"85","공연장","강남구민회관","Gangnam-gu Hall","1996","강남구  ","       ","서울시 강남구 대치2동 509-2","","02-3430-1150","http://www.hanpac.or.kr"
"86","공연연습실(대학로)","강남구민회관강당","","    ","강남구  ","135-837","서울시 강남구 삼성로 154","","02-2176-0892",""
"87","도서관","강남도서관","","    ","강남구  ","135-867","서울시 강남구 선릉로 116길 45","","02-3448-4741~5","http://www.dc7.or.kr"
"88","지방문화원","강남문화원","","    ","강남구  ","135-935","서울시 강남구 테헤란로 8길 36","","02-3454-1517~9","http://www.sscmc.or.kr"
"89","공연장","강남아트홀","GangNam Art Hall","2010","서초구  ","       ","서울시 서초구 서초동 1307 성우빌리지 B1","","02-537-5510","http://cafe.daum.net/theaterill"
"90","복지관","강남종합사회복지관","","    ","강남구  ","135-939","서울시 강남구 개포로 109길 5","","02-451-0051~3","http://www.smw.or.kr"
"91","청소년수련관","강남청소년수련관","","    ","강남구  ","135-953","서울시 강남구 영동대로 131길 26","","02-544-9725","http://www.ddm.go.kr"
"92","도서관","강동구립 강일도서관","","    ","강동구  ","134-100","서울시 강동구 아리수로 93길 9-14","복합청사내 4,5층","02-427-7676,02-427-4004","http://www.gallerygodo.com"
"93","도서관","강동구립 성내도서관","","    ","강동구  ","134-843","서울시 강동구 성안로 106-1","","02-471-0044,02-471-1071","http://www.gallery-now.com"
"94","도서관","강동구립 암사도서관","","    ","강동구  ","134-857","서울시 강동구 고덕로 20길 42","","02-429-0476~7","http://www.galerie-gaia.net"
"95","도서관","강동구립 해공도서관","","    ","강동구  ","134-868","서울시 강동구 올림픽로 702","","02-478-9656~7","http://www.grimson.co.kr"
"96","공연연습실(대학로)","강동구민회관","","    ","강동구  ","134-861","서울시 강동구 상암로 168","","02-488-5542","http://www.ganaart.com"
"97","도서관","강동도서관","","    ","강동구  ","134-010","서울시 강동구 양재대로 116길 57","","02-483-0528,02-483-0728",""
"98","지방문화원","강동문화원","","    ","강동구  ","134-861","서울시 강동구 상암로 168","강동구민회관 2층","02-488-0386","http://www.banditrazos.com"
"99","공연연습실(대학로)","강동아트센터","","    ","강동구  ","134-839","서울시 강동구 동남로 870","","02-440-0536",""
"100","공연연습실(대학로)","강동어린이회관아이누리홀","","    ","강동구  ","134-851","서울시 강동구 성내로 6길 16","","02-486-3516~8","http://www.garamgallery.co.kr"
"101","복지관","강동종합사회복지관","","    ","강동구  ","134-871","서울시 강동구 진황도로23길 7","","02-2041-7800","http://www.gallerydoll.com"
"102","청소년수련관","강동청소년수련관","","    ","강동구  ","134-100","서울시 강동구 아리수로93길 47","","02-6252-1300~1","http://www.bellarte.co.kr"
"103","청소년수련관","강동청소년회관","","    ","강동구  ","134-830","서울시 강동구 양재대로138길 41","","02-3426-6211~3",""
"104","청소년수련관","강북 I Will 센터","","    ","강북구  ","142-872","서울시 강북구 삼각산로 158","송림빌딩 5,6층","02-912-6410~7","http://www.kwanhoongallery.com"
"105","도서관","강북 청소년문화정보도서관","","    ","강북구  ","142-816","서울시 강북구 삼양로 54길 68","","02-944-3141","http://www.gallerysimon.com"
"106","문예회관","강북문화예술회관","","    ","강북구  ","142-882","서울시 강북구 삼각산로 85","","02-944-3000","http://www.galleryihn.com"
"107","지방문화원","강북문화원","","    ","강북구  ","142-882","서울시 강북구 삼각산로 85","강북문화예술회관 본관 3층","02-999-8810","http://www.topohaus.com"
"108","도서관","강북문화정보도서관","","    ","강북구  ","142-060","서울시 강북구 오현로 145","","02-944-3100","http://www.artlink.co.kr"
"109","청소년수련관","강북청소년수련관","","    ","강북구  ","142-881","서울시 강북구 4.19로 74","","02-6715-6600~1","http://www.galleryhyundai.com"
"110","도서관","강서 꿈꾸는 어린이도서관","","    ","강서구  ","157-864","서울시 강서구 공항대로 615","","02-3663-4025~6","http://www.khjgallery.com"
"111","도서관","강서 우장산 숲속도서관","","    ","강서구  ","157-010","서울시 강서구 우현로 34","","02-2696-6690~90","http://www.kumhomuseum.com"
"112","도서관","강서 푸른들 청소년도서관","","    ","강서구  ","157-918","서울시 강서구 강서로 45다길 71","","02-2691-1630~1","http://www.kimjinhyegallery.com"
"113","공연연습실(대학로)","강서구민회관","","    ","강서구  ","157-280","서울시 강서구 우장산로 66","","02-3664-6046,02-3664-8924","http://www.kukjegallery.com"
"114","도서관","강서길꽃 어린이도서관","","    ","강서구  ","157-857","서울시 강서구 금낭화로 24길 5","","02-2663-4764~5","http://www.gallerykim.com"
"115","도서관","강서도서관","","    ","강서구  ","157-716","서울시 강서구 등촌로 51나길 29","","02-3219-7000",""
"116","지방문화원","강서문화원","","    ","강서구  ","157-010","서울시 강서구 화곡로 215","","02-2607-4233",""
"117","청소년수련관","강서청소년회관","","    ","강서구  ","157-280","서울시 강서구 공항대로 42길 23-19","","02-3664-2456~8","http://www.sungallery.co.kr"
"118","도서관","개봉도서관","","    ","구로구  ","152-811","서울시 구로구 개봉로16길 30-11","","02-2689-1695",""
"119","도서관","개봉어린이도서관","","    ","구로구  ","152-806","서울시 구로구 경인로 318-15","","02-2066-1695,02-2066-1659","http://www.in7942.or.kr"
"120","도서관","개울작은도서관","","    ","양천구  ","158-857","서울시 양천구 철쭉2길 31","","02-2696-8910",""
"121","도서관","개포도서관","","    ","강남구  ","135-802","서울시 강남구 선릉로 4길 30","","02-3462-1989","http://www.dc9.or.kr"
"122","전시시설","갤러리 41 (종로갤러리) ","","    ","종로구  ","110-190","서울시 종로구 삼청로 22-31","","02-744-0341","http://www.primeenter.co.kr"
"123","전시시설","갤러리 SP","","    ","강남구  ","135-888","서울시 강남구 압구정로4길 13-20","SP빌딩","02-546-3560",""
"124","전시시설","갤러리 보는","gallerybonun","2013","마포구  ","121-883","서울시 마포구 합정동 1?358","354-32 1층 갤러리보는","02-334-0710","http://www.gallerybn.com"
"125","전시시설","갤러리 서림","","    ","강남구  ","135-953","서울시 강남구 학동로 523","","02-515-3377","http://www.gurocc.or.kr"
"126","전시시설","갤러리 스클로","","    ","중구   ","100-826","서울시 중구 다산로16길 29","비컨힐빌딩 1층","02-2236-1582","http://www.hanpac.or.kr"
"127","전시시설","갤러리 자인제노","","    ","종로구  ","110-034","서울시 종로구 자하문로10길 9-4","","02-737-5751","http://www.i-pmc.co.kr"
"128","공연장","갤러리 쿠오리아","","2007","용산구  ","       ","서울시 용산구 남영동 131-1 해태제과본사 1,2,3층","","02-709-7425","http://www.art-block.co.kr"
"129","전시시설","갤러리LVS","","    ","강남구  ","135-120","서울시 강남구 도산대로 27길 33","자스미빌딩 B1","02-3443-7475","http://www.galleryyemac.com"
"130","전시시설","갤러리PICI ","","    ","강남구  ","135-955","서울시 강남구 도산대로87길 25","","02-547-9569","http://www.seekle.or.kr"
"131","전시시설","갤러리가이아","","    ","종로구  ","110-300","서울시 종로구 인사동길 57-1","","02-733-3373","http://www.wonderspace.co.kr"
"132","전시시설","갤러리고도","","    ","종로구  ","110-140","서울시 종로구 율곡로 24","한진빌딩 1층","02-720-2223","http://www.wonderspace.co.kr"
"133","전시시설","갤러리그림손","","    ","종로구  ","110-310","서울시 종로구 인사동10길 22","","02-733-1045~6","http://erang.naool.com"
"134","전시시설","갤러리나우","","    ","종로구  ","110-300","서울시 종로구 인사동길 39","성지빌딩 3층","02-725-2930","http://cafe.daum.net/inatheater"
"135","전시시설","갤러리담","","    ","종로구  ","110-240","서울시 종로구 윤보선길 72","","02-738-2745","http://www.parktc.com"
"136","전시시설","갤러리도올","","    ","종로구  ","110-220","서울시 종로구 삼청로 87","도올빌딩 2층","02-739-1405~6",""
"137","전시시설","갤러리두가헌","","    ","종로구  ","110-190","서울시 종로구 삼청로 14","","02-2287-3551~2","http://www.ds.or.kr"
"138","전시시설","갤러리뤼미에르","","    ","강남구  ","135-100","서울시 강남구 선릉로 158길 10","한나빌딩 4층","02-517-2134,02-517-2176","http://www.goyouth.or.kr"
"139","미술관","갤러리마노","","    ","서초구  ","137-927","서울시 서초구 남부순환로323길 1","예전빌딩 4층","02-741-6030",""
"140","전시시설","갤러리미","","    ","강남구  ","135-955","서울시 강남구 압구정로 461","네이쳐포엠 312호","02-542-3004","http://www.naruart.or.kr"
"141","전시시설","갤러리반디트라소","","    ","종로구  ","110-848","서울시 종로구 평창30길 16","","02-734-2312",""
"142","전시시설","갤러리베아르떼","","    ","종로구  ","110-340","서울시 종로구 삼일대로 32길 36","운현신화타워","02-739-4333","http://and.smu.ac.kr"
"143","전시시설","갤러리상","","    ","종로구  ","110-220","서울시 종로구 삼청로7길 37","","02-730-0030","http://and.smu.ac.kr"
"144","전시시설","갤러리서미앤투스","","    ","강남구  ","135-517","서울시 강남구 압구정로 80길 19","","02-511-7305,02-511-7245","http://www.uac.co.kr"
"145","전시시설","갤러리선컨템포러리","","    ","종로구  ","110-200","서울시 종로구 삼청로 52","","02-720-5789",""
"146","전시시설","갤러리세줄","","    ","종로구  ","110-848","서울시 종로구 평창30길 40","","02-391-9171",""
"147","전시시설","갤러리송아당","","    ","종로구  ","110-190","서울시 종로구 율곡로1길 41","","02-725-6713",""
"148","전시시설","갤러리시몬","","    ","종로구  ","110-040","서울시 종로구 자하문로6길 20","","02-549-3031",""
"149","전시시설","갤러리아미","","    ","강남구  ","135-100","서울시 강남구 압구정로 445","8층","02-514-5568","http://www.yookyoung.org/"
"150","전시시설","갤러리아트링크","","    ","종로구  ","110-240","서울시 종로구 율곡로3길 66-17","","02-738-0738","http://www.jungmiso.com"
"151","전시시설","갤러리아트사이드","","    ","종로구  ","110-040","서울시 종로구 자하문로6길 15","","02-725-1020","http://cafe.naver.com/sktheater.cafe"
"152","전시시설","갤러리아트앤드림","","    ","강남구  ","135-889","서울시 강남구 도산대로13길 9","보고빌딩 1층, B1","02-543-3162","http://www.domarthall.com"
"153","전시시설","갤러리예맥","","    ","광진구  ","143-854","서울시 광진구 능동로 92","","02-720-9912","http://www.gallerysklo.co.kr"
"154","전시시설","갤러리우림","","    ","종로구  ","110-300","서울시 종로구 인사동10길 18","","02-733-3788","http://www.sewooartcenter.com"
"155","전시시설","갤러리원","","    ","강남구  ","135-956","서울시 강남구 압구정로71길 14","","02-514-3439","http://www.uniqlo-ax.com/"
"156","전시시설","갤러리유로","","    ","강남구  ","135-892","서울시 강남구 논현로 805","유로플라자 1층","02-3444-6995","http://www.gj.or.kr"
"157","전시시설","갤러리인","","    ","종로구  ","110-220","서울시 종로구 청와대로 73","","02-732-4677","http://www.sotc.or.kr"
"158","전시시설","갤러리인데코","","    ","강남구  ","135-894","서울시 강남구 압구정로36길 8","","02-511-0032","http://www.jayang.or.kr"
"159","전시시설","갤러리잔다리","","    ","마포구  ","121-838","서울시 마포구 양화로16길 14-16","","02-323-4155","http://zandari.com/"
"160","전시시설","갤러리정","","    ","종로구  ","110-070","서울시 종로구 경희궁2길 12","","02-733-1911","http://www.eggnuc.com"
"161","전시시설","갤러리조선","","    ","종로구  ","110-200","서울시 종로구 북촌로5길 64","","02-723-7133~4",""
"162","전시시설","갤러리진선","","    ","종로구  ","110-220","서울시 종로구 삼청로 61","","02-723-3340","http://cafe.naver.com/spthater.cafe"
"163","전시시설","갤러리토포하우스","","    ","종로구  ","110-300","서울시 종로구 인사동11길 6","","02-722-9883,02-734-7555","http://www.charlottetheater.co.kr/"
"164","전시시설","갤러리포커스 서울점","","    ","강남구  ","135-732","서울시 강남구 테헤란로 521","코엑스인터컨티넨탈호텔 B2 쇼핑아케이드 C-24","02-568-5644","http://www.chunggok.org"
"165","전시시설","갤러리현대","","    ","종로구  ","110-190","서울시 종로구 삼청로 8","","02-734-6111~3",""
"166","공연연습실(대학로)","건국대학교새천년대공연장 위니아트","","    ","광진구  ","143-701","서울시 광진구 능동로 120","건국대학교 새천년관 B2","02-455-1896~7",""
"167","공연장","게릴라극장","Guerrilla Theater","2006","종로구  ","       ","서울시 종로구 혜화동 15-29","","02-763-1268","http://http://www.stt1986.com"
"168","공연연습실(대학로)","게릴라극장","","    ","종로구  ","110-530","서울시 종로구 혜화로6길 9","","02-763-1268","http://www.doyoart.com/guerilla/"
"169","박물관","겸재정선기념관","","    ","강서구  ","157-801","서울시 강서구 양천로47길 36","","02-2659-2206~7",""
"170","공연연습실(대학로)","경복궁 아트홀","","    ","종로구  ","110-033","서울시 종로구 자하문로 82","","02-735-0506","http://cafe.daum.net/gyeongbokgungarthall"
"171","공연장","경복궁아트홀","gyeongbokgungarthall","2012","종로구  ","       ","서울시 종로구 효자동 70-1","","02-735-0506",""
"172","공연연습실(대학로)","경희대학교 평화의전당","","    ","동대문구 ","130-701","서울시 동대문구 경희대로26","","02-961-9250","http://khugpp.khu.ac.kr/"
"173","공연연습실(대학로)","고려대학교 인촌기념관","","    ","성북구  ","136-701","서울시 성북구 안암로 145","고려대학교","02-3290-1114","http://www.hyc.or.kr"
"174","도서관","고척도서관","","    ","구로구  ","152-082","서울시 구로구 고척로 45길 31","","02-2615-0524,02-2615-0526~8","http://www.yurin.or.kr"
"175","공연장","공간아울","SPACE OWL","2010","종로구  ","       ","서울시 종로구 동숭동 1-27  지하1층","","","http://www.spaceowl.co.kr"
"176","전시시설","공간지은","SPACEJIEUN","2022","송파구  ","05527  ","서울시 송파구 풍성로 22 (풍납동)","1층","0507-1388-0280",""
